cap_type,band,sex,dna_sex,age_at_first,date_1,loc_1,x,y,mass_1,date_2,loc_2,mass_2,dist,d_mass,d_time,cap
b2f2s,1783-64506,F,M??,A,9/18/2014,3b,494510,4326826,62.5,6/18/2015,A2_2014 F,61,0.18,-1.5,273,2
b2f2s,1783-64514,M,,A,9/19/2014,2B,496121,4326542,71,6/18/2015,A18_2015 M,54,0.16,-17,272,2
s2f,1783-64417,U,M,HY,7/12/2013,A8_2013 Fl,495467,4327710,54.2,9/3/2013,1,55.5,0.42,1.3,53,2
s2f,1783-64461,U,,HY,7/16/2013,CN11_2013 Fl,495338,4327627,58.5,9/19/2013,1B,57.5,14.93,-1,65,2
s2f,1783-64465,F,,A,7/23/2014,A15_2014 F,495338,4327627,51,8/20/2014,1B,60,0.66,9,28,2
s2f,1783-64541,M,,A,7/4/2014,A2_2014 M,494731,4327142,57.5,8/23/2014,3A,58,0.36,0.5,50,2
s2f,1783-64494,U,,HY,7/16/2014,A8_2014 Fl,496229,4326665,52.9,8/29/2014,2B,53.5,1.18,0.6,44,2
s2f,1783-64313,U,,HY,6/29/2012,B19_2012 Fl,495467,4327710,62,9/3/2014,1A,63.5,5.66,1.5,796,2
s2f,1783-64546,M,,A,6/16/2014,A8_2014 M,495338,4327627,53.5,9/10/2014,1B,61.5,0.22,8,86,2
s2f,1783-64515,F,,A,7/7/2014,A8_2014 F,495338,4327627,56,9/13/2014,1B,66.5,0.22,10.5,68,2
s2f,1783-64587,U,,HY,7/14/2014,B13_2014 Fl,495338,4327627,57.5,9/13/2014,1B,57.5,6.78,0,61,2
s2f,1783-64397,M,,A,7/7/2014,A29_2014 M,496203,4326751,51,9/16/2014,2A,68.5,0.22,17.5,71,2
s2f,1593-64747,F,F,A,6/4/2014,A10_2014 F,495338,4327627,58.5,9/17/2014,1B,69.5,0.42,11,105,2
s2f,1783-64506,F,M??,A,7/2/2014,A2_2014 F,494664,4326925,N/A,9/18/2014,3b,62.5,0.16,N/A,78,2
s2f,1783-64514,M,,A,7/9/2014,A18_2014 M,496229,4326665,53.5,9/19/2014,2B,71,0.15,17.5,72,2
s2f,1833-03190,U,M,HY,7/20/2015,A27_2015 Fl #1,495467,4327710,56,8/28/2015,1A,56.5,0.09,0.5,39,2
s2f,1833-03191,M,M,HY,7/20/2015,A27_2015 Fl #2,495467,4327710,56,8/28/2015,1A,53.5,0.09,-2.5,39,2
s2f,1783-64490,M,,HY,7/11/2014,A20_2014 Fl,495467,4327710,63.4,8/31/2015,1A,64.5,1.89,1.1,416,2
s2f,1783-64580,U,,HY,7/14/2014,A4_2014 Fl,495467,4327710,59.4,9/11/2015,1A,63.7,1.04,4.3,424,2
s2f,1833-03176,U,M,HY,7/17/2015,A10_2015 Fl,496229,4326665,56,9/17/2015,2B,59.1,1.17,3.1,62,2
s2f,1783-74347,U,F,HY,7/13/2016,A20_2016 Fl,494664,4326925,59,8/22/2016,3B,68.5,2.14,9.5,40,2
s2f,1783-74351,U,M,HY,7/8/2016,B12_2016 Fl,495467,4327710,53.6,8/26/2016,1A,51.6,5.12,-2,49,2
f2f,1783-64454,U,,A,9/21/2013,1B,495338,4327627,64,9/24/2015,1B,62.9,0,-1.1,733,2
f2f,1833-03130,U,,A,9/9/2014,3B,494664,4326925,63,9/16/2015,3B,62.3,0,-0.7,372,2
f2f,1833-03325,M,,HY,8/31/2015,1B,495338,4327627,52,9/11/2016,1B,60.7,0,8.7,377,2
f2f,1833-03336,U,,HY,9/4/2015,2A,495467,4327710,54,9/20/2016,1A,62.7,1.21,8.7,382,2
f2f,1833-03103,U,,HY,9/10/2014,1B,495338,4327627,59.5,9/3/2015,1B,66.5,0,7,358,2
f2f2,1833-03103,U,,HY,9/3/2014,1B,495338,4327627,58.5,9/6/2014,1B,59,0,0.5,3,2
f2f2,1833-03103,U,,HY,9/6/2014,1B,495338,4327627,59,9/10/2014,1B,59.5,0,0.5,4,2
f2f2,1783-64430,U,,HY,9/3/2013,1B,495467,4327710,56,9/19/2013,1A,57,0.15,1,16,2
f2f2,1833-64475,U,,HY,8/26/2014,1A,496203,4326751,56.5,9/16/2014,2A,59,1.21,2.5,21,2
f2f2,1783-64570,U,,U,9/2/2014,2A,494664,4326925,59,9/9/2014,3B,59.5,1.55,0.5,7,2
f2f2,1833-03104,M,,A,9/3/2014,1A,495338,4327627,60.5,9/6/2014,1B,61,0.15,0.5,3,2
f2f2,1833-03110,U,,U,9/4/2014,3B,495338,4327627,58,9/6/2014,1B,57.5,0.97,-0.5,2,2
f2f2,1833-03299,U,M,HY,8/18/2015,1B,496229,4326665,53.5,8/31/2015,2B,56,1.31,2.5,13,2
f2f2,1833-03302,U,,HY,8/26/2015,2B,495467,4327710,53,9/3/2015,1A,59.5,1.29,6.5,8,2
f2f2,1833-03304,F,M(!!),A,8/27/2015,3B,494664,4326925,62.5,9/2/2015,3B,64,0,1.5,6,2
f2f2,1833-03311,F,,A,8/19/2015,3A,494664,4326925,58,8/24/2015,3B,55,0.23,-3,5,2
f2f2,1833-03317,U,,HY,8/20/2015,2A,495467,4327710,54,8/28/2015,1A,57,1.21,3,8,2
f2f2,1833-03319,U,,HY,8/25/2015,1A,495467,4327710,57.5,8/28/2015,1A,57,0,-0.5,3,2
f2f2,1833-03320,U,M,HY,8/25/2015,1A,494664,4326925,48.5,9/2/2015,3B,55,1.12,6.5,8,2
f2f2,1833-03322,U,F,HY,8/28/2015,1B,495467,4327710,56.5,9/5/2015,1A,56.4,0.15,-0.1,8,2
f2f2,1833-03324,U,F,HY,8/31/2015,1A,495467,4327710,57,9/5/2015,1A,62.8,0,5.8,5,2
f2f2,1833-03327,U,M,HY,8/31/2015,1B,494664,4326925,53,9/2/2015,3B,54,0.97,1,2,2
f2f2,1783-74392,U,,HY,8/22/2016,3,494731,4327142,45.4,9/4/2016,3A,52.5,0,7.1,13,2
f2f2,1783-74396,U,,HY,8/26/2016,1B,495467,4327710,60.4,9/11/2016,1A,56.3,0.15,-4.1,16,2
f2f2,1783-74403,U,,A,9/2/2016,1B,494731,4327142,59.9,9/18/2016,3A,62.9,0.78,3,16,2
f2f2,1783-74377,U,,HY,9/4/2016,3A,494664,4326925,54.8,9/10/2016,3B,54.5,0.23,-0.3,6,2
