cap_type,band,sex,dna_sex,age_1,date_1,loc_1,x_1,y_1,mass_1,date_2,loc_2,x_2,y_2,mass_2,dist,d_mass,d_time
s2f,1783-64461,U,,HY,7/16/2013,CN11_2013 Fl,481426,4333040,58.5,9/19/2013,1B,495338,4327627,57.5,14.93,-1,65
s2f,1783-64465,F,,A,7/23/2014,A15_2014 F,495278,4326966,51,8/20/2014,1B,495338,4327627,60,0.66,9,28
s2f,1783-64541,M,,A,7/4/2014,A2_2014 M,494739,4326787,57.5,8/23/2014,3A,494731,4327142,58,0.36,0.5,50
s2f,1783-64494,U,,HY,7/16/2014,A8_2014 Fl,495317,4327407,52.9,8/29/2014,2B,496229,4326665,53.5,1.18,0.6,44
s2f,1783-64313,U,,HY,6/29/2012,B19_2012 Fl,496276,4333315,62,9/3/2014,1A,495467,4327710,63.5,5.66,1.5,796
s2f,1783-64546,M,,A,6/16/2014,A8_2014 M,495317,4327407,53.5,9/10/2014,1B,495338,4327627,61.5,0.22,8,86
s2f,1783-64515,F,,A,7/7/2014,A8_2014 F,495317,4327407,56,9/13/2014,1B,495338,4327627,66.5,0.22,10.5,68
s2f,1783-64587,U,,HY,7/14/2014,B13_2014 Fl,495857,4334384,57.5,9/13/2014,1B,495338,4327627,57.5,6.78,0,61
s2f,1783-64397,M,,A,7/7/2014,A29_2014 M,496357,4326593,51,9/16/2014,2A,496203,4326751,68.5,0.22,17.5,71
s2f,1593-64747,F,F,A,6/4/2014,A10_2014 F,495624,4327932,58.5,9/17/2014,1B,495338,4327627,69.5,0.42,11,105
s2f,1783-64506,F,M??,A,7/2/2014,A2_2014 F,494739,4326787,NA,9/18/2014,3b,494664,4326925,62.5,0.16,NA,78
s2f,1783-64514,M,,A,7/9/2014,A18_2014 M,496123,4326563,53.5,9/19/2014,2B,496229,4326665,71,0.15,17.5,72
s2f,1833-03190,U,M,HY,7/20/2015,A27_2015 Fl #1,495386,4327739,56,8/28/2015,1A,495467,4327710,56.5,0.09,0.5,39
s2f,1833-03191,M,M,HY,7/20/2015,A27_2015 Fl #2,495386,4327739,56,8/28/2015,1A,495467,4327710,53.5,0.09,-2.5,39
s2f,1783-64490,M,,HY,7/11/2014,A20_2014 Fl,496803,4326371,63.4,8/31/2015,1A,495467,4327710,64.5,1.89,1.1,416
s2f,1783-64580,U,,HY,7/14/2014,A4_2014 Fl,495733,4326706,59.4,9/11/2015,1A,495467,4327710,63.7,1.04,4.3,424
s2f,1833-03176,U,M,HY,7/17/2015,A10_2015 Fl,495716,4327718,56,9/17/2015,2B,496229,4326665,59.1,1.17,3.1,62
s2f,1783-74347,U,F,HY,7/13/2016,A20_2016 Fl,496752,4326437,59,8/22/2016,3B,494664,4326925,68.5,2.14,9.5,40
s2f,1783-74351,U,M,HY,7/8/2016,B12_2016 Fl,495397,4332829,53.6,8/26/2016,1A,495467,4327710,51.6,5.12,-2,49
f2f,1783-64454,U,,A,9/21/2013,1B,495338,4327627,64,9/24/2015,1B,495338,4327627,62.9,0,-1.1,733
f2f,1833-03130,U,,A,9/9/2014,3B,494664,4326925,63,9/16/2015,3B,494664,4326925,62.3,0,-0.7,372
f2f,1833-03325,M,,HY,8/31/2015,1B,495338,4327627,52,9/11/2016,1B,495338,4327627,60.7,0,8.7,377
f2f,1833-03336,U,,HY,9/4/2015,2A,496203,4326751,54,9/20/2016,1A,495467,4327710,62.7,1.21,8.7,382
f2f,1833-03103,U,,HY,9/10/2014,1B,495338,4327627,59.5,9/3/2015,1B,495338,4327627,66.5,0,7,358
ff,1833-03103,U,,HY,9/3/2014,1B,495338,4327627,58.5,9/6/2014,1B,495338,4327627,59,0,0.5,3
ff,1833-03103,U,,HY,9/6/2014,1B,495338,4327627,59,9/10/2014,1B,495338,4327627,59.5,0,0.5,4
ff,1783-64430,U,,HY,9/3/2013,1B,495338,4327627,56,9/19/2013,1A,495467,4327710,57,0.15,1,16
ff,1833-64475,U,,HY,8/26/2014,1A,495467,4327710,56.5,9/16/2014,2A,496203,4326751,59,1.21,2.5,21
ff,1783-64570,U,,U,9/2/2014,2A,496203,4326751,59,9/9/2014,3B,494664,4326925,59.5,1.55,0.5,7
ff,1833-03104,M,,A,9/3/2014,1A,495467,4327710,60.5,9/6/2014,1B,495338,4327627,61,0.15,0.5,3
ff,1833-03110,U,,U,9/4/2014,3B,494664,4326925,58,9/6/2014,1B,495338,4327627,57.5,0.97,-0.5,2
ff,1833-03299,U,M,HY,8/18/2015,1B,495338,4327627,53.5,8/31/2015,2B,496229,4326665,56,1.31,2.5,13
