Prefix,Suffix,Index Band,Date,Year,Julian,Site,Shelf,Time,ID,Age,PAge,Sex,DNA SEX,DNASEX,Final Sex,Bleed,Feath,Mass 1,LWC,Rect,LP5,LP6,R Time,Temp,Time 2,Date 2,Site 2,Mass 2,Date 3,Site 3,Mass 3,Date 4,Site 4,Mass 4,LP1,LP2,LP3,LP4,LP5,LP6,LP7,LP8,LP9,LP10,RP1,RP2,RP3,RP4,RP5,RP6,RP7,RP8,RP9,RP10,Notes
1833,3119,1833-03119,9/6/2014,2014,249,1A,3,22:45,U,U,,U,0,M,M,Y,Y,59.5,131,60,99,108,0:00,,1:15,,,,,,,,,,3,3,3,3,3,3,2.5,2.5,2,1.5,3,3,3,3,3,3,2.5,2.5,2,1.5,
1833,3120,1833-03120,9/6/2014,2014,249,1B,2,23:54,U,A,A,U,0,F,F,Y,Y,66,125,59,95,103,0:37,,0:43,,,,,,,,,,1,1,3,3,3,2.5,2.5,M,M,M,1,1,3,3,3,3,2.5,M,M,M,
1833,3124,1833-03124,9/9/2014,2014,252,3B,4,20:21,U,A,A,M,0,M,M,Y,Y,63,130,65,96,107,20:52,,0:31,,,,,,,,,,3,3,3,2.5,2.5,2,2,1.5,M,M,3,3,3,2.5,2.5,2,2,1,M,M,Gave TEC in hand
1833,3125,1833-03125,9/9/2014,2014,252,3B,2,20:44,U,A,A,F,0,M,F,L,Y,60,129,65,95,102,21:27,,0:43,,,,,,,,,,3,3,3,3,3,2.5,2,2,2,1.5,3,3,3,3,2.5,2.5,2,2,1.5,1.5,
1833,3126,1833-03126,9/9/2014,2014,252,3B,2,21:09,U,A,A,F,0,M,F,R,Y,55.5,132,64,100,109,21:51,,0:42,,,,,,,,,,2,2.5,2.5,2,2,2,1.5,1.5,1.5,1,2,2.5,2.5,2,2,1.5,1.5,1,1,1,
1833,3127,1833-03127,9/9/2014,2014,252,3B,?,22:19,U,A,A,M,0,#N/A,M,?,?,65,125,64,98,107,22:46,,0:27,,,,,,,,,,0.5,0.5,2,2.5,2.5,2.5,2,M,M,M,1,2.5,2.5,2.5,2.5,2.5,2,M,M,M,
1833,3128,1833-03128,9/9/2014,2014,252,3B,2,23:16,U,A,A,F,0,M,F,?,?,55.5,133,59,98,107,23:43,,0:27,,,,,,,,,,3,3,3,3,2.5,2.5,2,2,2,1.5,3,3,3,2.5,2.5,2.5,2,2,1.5,1,Many pinfeathers
1833,3129,1833-03129,9/9/2014,2014,252,3B,3,0:32,U,A,A,F,0,#N/A,F,N,Y,56.5,128,59,94,103,1:12,,0:40,,,,,,,,,,3,3,3,3,3,2.5,2.5,2,1.5,1,3,3,3,3,2.5,2.5,2,2,1,1,
1833,3130,1833-03130,9/9/2014,2014,252,3B,3,1:47,U,A,A,U,0,M,M,?,?,63,127,60,97,105,2:27,,0:40,9/16/2015,3,62.3,,,,,,,1,3,3,3,2.5,2.5,2.5,M,M,M,1,3,3,3,2.5,2.5,2.5,M,M,M,
1833,3130,1833-03130,9/16/2015,2015,259,3B,2,0:18,PF,3,3,M,0,M,M,N,Y,62.3,128,58,97,105,1:02,12,0:44,,,,,,,,,,2.5,1.5,3,3,3,2.5,M,M,M,M,2.5,1.5,3,3,2.5,2,M,M,M,M,Banded 9/9/14 on Barren as an adult
1833,3131,1833-03131,9/10/2014,2014,253,1B,3,20:45,U,U,Y,U,0,M,M,Y,Y,58,139,60,98,106,21:15,,0:30,,,,,,,,,,3,3,3,3,2.5,2.5,2.5,2,1.5,1,3,3,3,2.5,2.5,2.5,2,2,1.5,1,
1833,3132,1833-03132,9/10/2014,2014,253,1A,3,21:16,U,U,Y,U,0,M,M,Y,Y,54,129,61,97,106,21:52,,0:36,,,,,,,,,,2.5,2.5,2.5,2,2,1.5,1.5,1.5,1.5,1,2.5,2.5,2.5,2,2,1.5,1.5,1.5,1,1,
1833,3133,1833-03133,9/10/2014,2014,253,1A,2,21:54,U,A,A,F,0,#N/A,F,Y,Y,58.5,136,62,106,111,22:33,,0:39,,,,,,,,,,2.5,2.5,2.5,2,2,1.5,1.5,1.5,1.5,1,2.5,2.5,2.5,2,2,1.5,1.5,1.5,1,1,
1833,3134,1833-03134,9/10/2014,2014,253,1A,2,0:54,U,U,,U,0,M,M,Y,Y,60.5,134,63,102,110,1:46,,0:52,,,,,,,,,,3,3,3,3,2.5,2.5,2,2,2,1.5,,,,,,,,,,,
1833,3135,1833-03135,9/10/2014,2014,253,1B,2,1:16,U,Y,Y,U,0,M,M,Y,Y,57.5,134,63,98,106,2:11,4.5,0:55,,,,,,,,,,3,3,3,3,3,3,2.5,2,2,1.5,3,3,3,3,3,2.5,2.5,2,1.5,1.5,
1833,3136,1833-03136,9/13/2014,2014,256,1B,1,20:16,U,U,,U,0,F,F,R,Y,61.5,131,64,97,106,20:53,,0:37,,,,,,,,,,3,3,3,2.5,2.5,2.5,2,2,2,1.5,3,3,3,2.5,2.5,2,2,1.5,1.5,1.5,
1833,3137,1833-03137,9/13/2014,2014,256,1B,1,20:34,U,U,,U,0,M,M,R,Y,60,129,59,94,103,21:04,,0:30,,,,,,,,,,3,3,3,3,2.5,2,2,2,1.5,1.5,3,3,3,3,2.5,2.5,2,2,1.5,1,
1833,3138,1833-03138,9/13/2014,2014,256,1B,1,21:32,U,U,Y,U,0,M,M,R,Y,58.5,130,59,96,106,21:58,,0:26,,,,,,,,,,2.5,2.5,2.5,2.5,2,2,2,1.5,1.5,1,3,3,3,2.5,2.5,2.5,2,1.5,1.5,1,
1833,3139,1833-03139,9/13/2014,2014,256,1B,1,22:01,U,U,Y,U,0,M,M,R,Y,56.5,128,57,95,102,22:34,,0:33,,,,,,,,,,2.5,2.5,2.5,2.5,2,2,2,1.5,1.5,1,2.5,2.5,2.5,2.5,2,2,2,1.5,1.5,1.5,
1833,3140,1833-03140,9/13/2014,2014,256,1A,4,22:46,U,A,A,F,0,M,F,L,Y,55.5,134,65,98,106,23:11,,0:25,,,,,,,,,,3,3,2.5,2.5,2,2,2,2,1.5,1.5,3,3,3,2.5,2.5,2,2,1.5,1.5,1.5,
1833,3141,1833-03141,9/16/2014,2014,259,2B,3,21:47,U,Y,Y,U,0,F,F,Y,Y,54.5,134,64,99,109,22:18,,0:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3142,1833-03142,9/16/2014,2014,259,2A,2,23:32,U,U,Y,U,0,F,F,L,Y,55,134,61,98,106,0:28,,0:56,,,,,,,,,,3,3,3,2.5,2.5,2,1.5,1,1,1,3,3,3,3,2.5,2.5,2,1.5,1,1,
1833,3143,1833-03143,9/16/2014,2014,259,2A,1,0:33,U,U,,U,0,M,M,L,Y,63,126,64,97,105,1:44,,1:11,,,,,,,,,,3,3,3,2.5,2.5,2,2,2,1.5,1.5,3,3,3,2.5,2.5,2,1.5,1.5,1.5,1,
1833,3144,1833-03144,9/16/2014,2014,259,2B,2,1:15,U,U,Y,U,0,F,F,L,Y,56.5,137,66,103,112,1:46,,0:31,,,,,,,,,,2.5,2.5,2.5,2,1.5,1.5,1,1,1,0.5,2.5,2.5,2.5,2.5,2,1.5,1.5,1,1,0.5,
1833,3145,1833-03145,9/16/2014,2014,259,2A,4,2:01,U,U,Y,U,M??,M,M,Y,Y,58.5,131,65,101,109,2:46,,0:45,,,,,,,,,,2.5,2.5,2.5,2,2,2,2,1.5,1.5,1,3,2.5,2.5,2,2,2,1.5,1,1,1,
1833,3146,1833-03146,9/17/2014,2014,260,1A,4,20:49,U,A,A,U,F,#N/A,F,L,Y,67.5,136,64,100,109,21:30,,0:41,,,,,,,,,,2.5,1,3,3,3,3,3,3,2.5,M,3,1,3,3,3,3,3,3,2.5,M,
1833,3147,1833-03147,9/17/2014,2014,260,1B,4,0:31,U,U,Y,U,F,#N/A,F,R,Y,58,130,62,95,105,1:04,,0:33,,,,,,,,,,3,3,2.5,2.5,2,2,2,1.5,1.5,1,3,3,2.5,2.5,2,2,1.5,1.5,1,1,
1833,3148,1833-03148,9/18/2014,2014,261,3A,1,23:21,U,A,A,U,M,#N/A,M,R,Y,75.5,132,64,98,107,23:58,,0:37,,,,,,,,,,0.5,2.5,2,2,2,2,1.5,1.5,M,M,0.5,2.5,2,2,2,1.5,1.5,1.5,M,M,
1833,3149,1833-03149,9/19/2014,2014,262,2A,1,1:00,U,U,Y,U,0,M,M,L,Y,55.5,126,60,97,105,1:43,,0:43,,,,,,,,,,2.5,2.5,2,2,1.5,1.5,1.5,1.5,1,1,2,2,2,2,2,1.5,1.5,1.5,1,1,
1833,3150,1833-03150,9/25/2014,2014,268,2A,3,1:30,U,U,Y,U,M,#N/A,M,R,Y,50.5,128,58,96,104,2:06,,0:36,,,,,,,,,,3,3,3,2.5,2.5,2.5,2,2,1.5,1,3,3,3,2.5,2.5,2.5,2,1.5,1.5,1,
1833,3176,1833-03176,9/17/2015,2015,260,2B,1,22:49,RY,Y,Y,U,M,#N/A,M,N,Y,59.1,126,64,96,104,23:12,,0:23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This is Oliver
1833,3190,1833-03190,8/28/2015,2015,240,1A,2,20:33,RY,Y,Y,U,M,#N/A,M,N,N,53.5,124,55,96,103,21:39,,1:06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A27_2015 Fledgling Eldest
1833,3191,1833-03191,8/28/2015,2015,240,1A,2,20:33,RY,Y,Y,U,M,#N/A,M,N,N,53.5,126,58,96,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,A27_2015 Fledgling Middle Child
1833,3201,1833-03201,9/27/2014,2014,270,3B,1,0:35,U,U,Y,U,0,F,F,R,Y,53,125,59,94,103,1:30,,0:55,,,,,,,,,,2.5,2.5,2.5,2.5,2,2,2,1.5,1.5,1.5,3,2.5,2.5,2.5,2,2,2,1.5,1.5,1,
1833,3299,1833-03299,8/18/2015,2015,230,1B,2,23:52,U,Y,Y,U,M,#N/A,M,L,Y,53.5,126,63,93,102,0:44,,0:52,8/31/2015,1,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3299,1833-03299,8/31/2015,2015,243,1B,1,21:02,F,Y,Y,U,M,#N/A,M,N,N,56,124,64,94,106,21:17,,0:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banded 8/18/15
1833,3301,1833-03301,8/26/2015,2015,238,2B,1,20:45,U,Y,Y,U,F,#N/A,F,L,Y,52.5,129,62,97,104,21:21,,0:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3302,1833-03302,8/26/2015,2015,238,2B,1,20:45,U,Y,Y,U,0,F,F,L,Y,53,131,62,96,105,21:16,,0:31,9/3/2015,1,59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3302,1833-03302,9/3/2015,2015,246,1A,3,22:50,F,Y,Y,U,0,F,F,N,N,59.5,129,62,97,105,23:06,6,0:16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banded 8/26/15 on FoY
1833,3303,1833-03303,8/27/2015,2015,239,3A,3,20:30,U,A,A,F,0,M,F,R,Y,57.5,129,59,100,109,21:11,,0:41,,,,,,,,,,2,2.5,3,3,2.5,2,1.5,M,M,M,3,3,3,3,3,2.5,2,M,M,M,
1833,3304,1833-03304,8/27/2015,2015,239,3B,1,20:36,U,A,A,F,M(!!),#N/A,F,L,Y,62.5,134,69,105,114,21:16,,0:40,9/2/2015,3,64,,,,,,,1,1,2.5,2.5,2.5,2.5,2,M,M,M,1,1,2.5,2.5,2.5,2.5,2,M,M,M,
1833,3304,1833-03304,9/2/2015,2015,245,3B,4,20:37,F,A,A,U,M,#N/A,M,N,N,64,137,67,104,114,21:12,,0:35,,,,,,,,,,1,1,2.5,2.5,2.5,2.5,2,M,M,M,1.5,1.5,2.5,2.5,2,2,2,M,M,M,Banded 8/27/15
1833,3305,1833-03305,8/27/2015,2015,239,3B,1,21:02,U,Y,Y,U,0,Inconclusive,U,R,Y,54.5,135,63,100,107,21:45,,0:43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3306,1833-03306,8/27/2015,2015,239,3A,4,0:03,U,Y,Y,U,0,M,M,L,Y,56,129,59,95,102,0:29,,0:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3307,1833-03307,8/28/2015,2015,240,1A,3,20:33,U,Y,Y,U,F,#N/A,F,L,Y,59,130,62,100,109,21:25,,0:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3308,1833-03308,8/28/2015,2015,240,1A,4,21:04,U,Y,Y,U,F,#N/A,F,L,Y,59,132,59,100,109,21:04,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3309,1833-03309,8/28/2015,2015,240,1A,1,21:20,U,A,A,U,0,Inconclusive,U,L,Y,59,122,51,102,104,22:24,,1:04,,,,,,,,,,3,3,3,3,3,3,M,M,M,M,3,3,3,3,3,3,M,M,M,M,
1833,3311,1833-03311,8/19/2015,2015,231,3A,3,23:44,U,A,A,F,0,M,F,R,Y,58,131,61,103,112,0:44,,1:00,8/24/2015,3,55,,,,,,,3,3,3,3,2.5,2.5,1.5,M,M,M,3,3,2.5,2.5,2.5,2.5,1.5,M,M,M,
1833,3311,1833-03311,8/24/2015,2015,236,3B,1,20:52,F,A,A,F,0,M,F,N,N,55,133,67,102,112,21:21,,0:29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banded 8/19/15
1833,3312,1833-03312,8/20/2015,2015,232,2A,1,22:46,U,A,A,F,0,#N/A,F,L,Y,58.5,125,62,89,96,0:10,,1:24,,,,,,,,,,0.5,1,1,3,3,2.5,2.5,M,M,M,0.5,1,1,3,3,2.5,2.5,M,M,M,
1833,3313,1833-03313,8/20/2015,2015,232,2B,1,22:50,U,Y,Y,U,F,#N/A,F,L,Y,54.5,131,62,98,107,23:40,,0:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3314,1833-03314,8/20/2015,2015,232,2A,1,23:18,U,Y,Y,U,F,#N/A,F,L,Y,50.5,125,61,99,106,0:44,,1:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3315,1833-03315,8/20/2015,2015,232,2A,2,0:46,U,Y,Y,U,F,#N/A,F,L,Y,56,122,61,97,105,1:30,,0:44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3316,1833-03316,8/20/2015,2015,232,2A,2,2:17,U,Y,Y,U,F,#N/A,F,L,Y,51.5,131,65,101,110,2:58,,0:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3317,1833-03317,8/20/2015,2015,232,2A,2,2:24,U,Y,Y,U,0,M,M,L,Y,54,130,63,99,107,3:23,,0:59,8/28/2015,1,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3317,1833-03317,8/28/2015,2015,240,1A,1,22:34,F,Y,Y,U,0,M,M,N,N,57,129,63,99,107,22:51,,0:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banded 8/20/15
1833,3318,1833-03318,8/24/2015,2015,236,3B,3,22:01,U,Y,Y,U,0,Inconclusive,U,L,Y,52.5,128,66,96,104,22:01,,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3319,1833-03319,8/25/2015,2015,237,1A,3,20:53,U,Y,Y,U,`,M,M,L,Y,57.5,130,59,93,102,21:43,,0:50,8/28/2015,1,57,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3319,1833-03319,8/28/2015,2015,240,1A,4,20:33,F,Y,Y,U,`,M,M,N,N,57,129,62,93,102,20:55,,0:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banded 8/25/15 on Saddle
1833,3320,1833-03320,8/25/2015,2015,237,1A,3,21:12,U,Y,Y,U,M,#N/A,M,L,Y,48.5,127,61,96,106,21:46,,0:34,9/2/2015,3,55,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3320,1833-03320,9/2/2015,2015,245,3B,3,22:33,F,Y,Y,U,M,#N/A,M,N,N,55,130,61,96,105,22:45,,0:12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banded 8/25/15
1833,3321,1833-03321,8/28/2015,2015,240,1A,2,22:05,U,Y,Y,U,0,Inconclusive,U,R,Y,56.5,131,59,96,105,22:46,,0:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3322,1833-03322,8/28/2015,2015,240,1B,2,0:03,U,Y,Y,U,F,#N/A,F,L,Y,56.5,128,61,94,103,0:35,,0:32,9/5/2015,1,56.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3322,1833-03322,9/5/2015,2015,248,1A,4,23:03,F,Y,Y,U,F,#N/A,F,N,N,56.4,128,61,94,103,23:20,12,0:17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banded 8/28/15 on Saddle
1833,3323,1833-03323,8/31/2015,2015,243,1A,3,21:02,U,Y,Y,U,F,#N/A,F,L,Y,54.5,127,60,95,105,21:52,,0:50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3324,1833-03324,8/31/2015,2015,243,1A,3,21:20,U,Y,Y,U,F,#N/A,F,L,Y,57,132,62,97,107,22:13,,0:53,9/5/2015,1,62.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3324,1833-03324,9/5/2015,2015,248,1A,3,22:18,F,Y,Y,U,F,#N/A,F,N,N,62.8,132,64,97,105,22:42,,0:24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banded 8/31/15 on Saddle
1833,3325,1833-03325,8/31/2015,2015,243,1B,3,21:18,U,Y,Y,U,0,M,M,L,Y,52,122,53,95,103,22:34,,1:16,9/11/2016,1B,60.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3325,1833-03325,9/11/2016,2016,255,1B,3,22:45,PF,2,2,M,0,M,M,N,Y,60.7,128,60,95,105,23:09,10,0:24,,,,,,,,,,3,3,3,3,3,3,3,M,M,M,3,3,3,3,3,3,3,M,M,M,"First banded 8/31/15 as HY. Coverts in shaft with RS4,7,8 appearing new. TEC in hand."
1833,3326,1833-03326,8/31/2015,2015,243,1B,1,22:19,U,Y,Y,U,M,#N/A,M,L,Y,55,126,60,95,107,22:49,,0:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3327,1833-03327,8/31/2015,2015,243,1B,1,23:05,U,Y,Y,U,M,#N/A,M,R,Y,53,130,59,96,104,23:47,,0:42,9/2/2015,3,54,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3327,1833-03327,9/2/2015,2015,245,3B,1,20:37,F,Y,Y,U,M,#N/A,M,N,N,54,129,58,96,104,21:09,,0:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banded /31/15 on saddle
1833,3328,1833-03328,9/1/2015,2015,244,2B,2,21:16,U,Y,Y,U,M,#N/A,M,L,Y,53.5,129,62,96,104,21:44,,0:28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3329,1833-03329,9/1/2015,2015,244,2A,1,21:32,U,Y,Y,U,F,#N/A,F,L,Y,54.5,126,64,99,107,22:11,,0:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3330,1833-03330,9/1/2015,2015,244,2B,4,22:31,U,Y,Y,U,0,M,M,R,Y,54,124,61,93,101,22:57,,0:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3331,1833-03331,9/1/2015,2015,244,2B,1,23:31,U,Y,Y,U,F,#N/A,F,R,Y,59.5,132,62,98,108,0:01,,0:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3332,1833-03332,9/3/2015,2015,246,1A,4,21:48,U,Y,Y,U,0,Inconclusive,U,R,Y,59,133,63,99,106,22:27,6,0:39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3333,1833-03333,9/3/2015,2015,246,1A,2,22:20,U,Y,Y,U,M,#N/A,M,L,Y,57,128,62,97,105,22:55,7,0:35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3334,1833-03334,9/3/2015,2015,246,1A,4,23:33,U,Y,Y,U,M,#N/A,M,L,Y,56.5,131,62,98,106,0:00,5,0:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3335,1833-03335,9/3/2015,2015,246,1A,2,0:16,U,Y,Y,U,M,#N/A,M,L,Y,52,131,62,95,105,0:46,5,0:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3336,1833-03336,9/4/2015,2015,247,2A,1,21:15,U,Y,Y,U,0,M,M,L,Y,54,126,63,96,105,21:44,13,0:29,9/20/2016,1A,62.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3336,1833-03336,9/20/2016,2016,264,1A,3,20:45,PF,2,2,U,0,M,M,N,Y,62.7,126,62,97,105,21:05,13.5,0:20,,,,,,,,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,Banded as HY on 9/4/15. Blacklight pictures.
1833,3337,1833-03337,9/5/2015,2015,248,1A,2,21:20,U,Y,Y,U,M,#N/A,M,R,Y,54.4,125,56,93,103,21:56,,0:36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3338,1833-03338,9/7/2015,2015,250,3A,1,22:03,U,Y,Y,U,F,#N/A,F,L,Y,54.2,130,63,98,107,22:44,10,0:41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3339,1833-03339,9/9/2015,2015,252,2B,2,23:02,U,Y,Y,U,0,M,M,L,Y,55.7,125,64,100,106,23:35,7,0:33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3340,1833-03340,9/9/2015,2015,252,2B,4,23:32,U,Y,Y,U,F,#N/A,F,L,Y,62.5,131,63,97,105,23:32,7,0:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3341,1833-03341,9/10/2015,2015,253,3A,1,23:16,U,Y,Y,U,F,#N/A,F,R,Y,57.4,135,69,102,111,23:47,8,0:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3342,1833-03342,9/11/2015,2015,254,1B,1,20:32,U,A,A,U,F,#N/A,F,L,Y,64.6,121,64,97,106,21:06,7,0:34,,,,,,,,,,3,3,1.5,1,3,3,2.5,M,M,M,2.5,1,1,1,3,3,2.5,M,M,M,
1833,3343,1833-03343,9/11/2015,2015,254,1B,2,22:31,U,Y,Y,U,M,#N/A,M,L,Y,59,127,65,96,105,23:08,6,0:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3344,1833-03344,9/16/2015,2015,259,3B,3,1:34,U,Y,Y,U,F,#N/A,F,L,Y,54.2,133,59,99,107,2:04,11.5,0:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3345,1833-03345,9/17/2015,2015,260,2A,,21:01,U,Y,Y,U,0,F,F,L,Y,54.2,131,59,100,108,21:46,10,0:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3346,1833-03346,9/17/2015,2015,260,2A,3,21:02,U,Y,Y,U,F,#N/A,F,L,Y,50.7,128,57,87,97,21:49,10,0:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3347,1833-03347,9/17/2015,2015,260,2B,2,21:35,U,Y,Y,U,F,#N/A,F,L,Y,51.7,128,61,97,106,22:13,10,0:38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3348,1833-03348,9/17/2015,2015,260,2A,3,22:16,U,Y,Y,U,M,#N/A,M,L,Y,55.1,131,63,97,107,22:48,,0:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3349,1833-03349,9/17/2015,2015,260,2B,3,23:15,U,Y,Y,U,0,M,M,L,Y,57.2,133,60,97,105,0:14,,0:59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3350,1833-03350,9/17/2015,2015,260,2B,2,23:42,U,Y,Y,U,M,#N/A,M,R,Y,52.7,126,61,97,105,0:42,8,1:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3351,1833-03351,9/17/2015,2015,260,2A,1,23:43,U,Y,Y,U,M,#N/A,M,L,Y,57.1,129,63,102,111,0:54,8,1:11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3352,1833-03352,9/17/2015,2015,260,2A,3,0:02,U,Y,Y,U,F,#N/A,F,R,Y,56,131,67,100,110,1:23,8,1:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3353,1833-03353,9/17/2015,2015,260,2B,1,1:17,U,Y,Y,U,F,#N/A,F,L,Y,61.6,126,63,95,103,1:44,,0:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3354,1833-03354,9/21/2015,2015,264,1B,3,20:17,U,A,A,U,M,#N/A,M,L,Y,58.4,129,63,95,104,21:01,15,0:44,,,,,,,,,,3,3,3,3,2.5,2.5,2.5,2.5,2,2,3,3,3,3,2.5,2.5,2.5,2.5,2,2,Apparent different generations of secondaries
1833,3355,1833-03355,9/21/2015,2015,264,1A,2,20:34,U,Y,Y,U,M,#N/A,M,L,Y,57.4,138,65,104,112,21:26,15,0:52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3356,1833-03356,9/21/2015,2015,264,1A,3,23:17,U,Y,Y,U,F,#N/A,F,L,Y,61.6,130,65,102,110,0:02,,0:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3357,1833-03357,9/21/2015,2015,264,1B,3,0:04,U,Y,Y,U,F,#N/A,F,L,Y,59.6,129,63,94,103,0:51,9,0:47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3358,1833-03358,9/23/2015,2015,266,2B,1,21:15,U,Y,Y,U,M,#N/A,M,L,Y,57.6,125,61,95,14,21:45,8,0:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3359,1833-03359,9/23/2015,2015,266,2A,1,23:00,U,Y,Y,U,M,#N/A,M,L,Y,54.3,122,62,93,101,23:22,6,0:22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3360,1833-03360,9/23/2015,2015,266,2B,3,23:18,U,Y,Y,U,M,#N/A,M,L,Y,62.9,133,61,97,106,23:43,6,0:25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3361,1833-03361,9/23/2015,2015,266,2A,2,0:32,U,A,A,U,M,#N/A,M,R,Y,57.5,126,65,96,105,1:45,5,1:13,,,,,,,,,,3,3,3,3,3,2.5,2.5,2.5,2.5,2,3,3,3,3,3,2.5,2.5,2,2,2,
1833,3362,1833-03362,9/23/2015,2015,266,2B,1,1:55,U,A,A,U,F,#N/A,F,L,Y,64,130,66,97,107,2:24,4,0:29,,,,,,,,,,0.5,0.5,0.5,2.5,2.5,2.5,2,2,2,M,0.5,0.5,0.5,2.5,2.5,2.5,2,2,2,M,"Pin feathers on abdomen, but little flourescence."
1833,3363,1833-03363,9/24/2015,2015,267,1A,3,19:57,U,Y,Y,U,0,F,F,L,Y,56.6,127,56,94,103,20:34,,0:37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3377,1833-03377,8/22/2016,2016,235,3B,1,21:17,U,Y,Y,U,0,M,M,L,Y,51.5,129,63,98,107,21:45,,0:28,9/10/2016,3,54.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3401,1833-03401,9/6/2016,2016,250,2B,1,0:00,U,Y,Y,U,M,#N/A,M,R,Y,53.3,122,58,91,100,0:26,10,0:26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1833,3402,1833-03402,9/6/2016,2016,250,2A,1,0:15,U,Y,Y,U,0,M,M,L,Y,52.6,126,63,96,104,0:42,9.5,0:27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
