Prefix,Suffix,Index Band,Date,Year,Julian,Site,Shelf,Time,ID,Age,PAge,Sex,DNA SEX,DNASEX,Final Sex,Bleed,Feath,Mass 1,LWC,Rect,LP5,LP6,R Time,Temp,Time 2,Date 2,Site 2,Mass 2,Date 3,Site 3,Mass 3,Date 4,Site 4,Mass 4,LP1,LP2,LP3,LP4,LP5,LP6,LP7,LP8,LP9,LP10,RP1,RP2,RP3,RP4,RP5,RP6,RP7,RP8,RP9,RP10,Notes
1783,64470,1783-64470,9/3/2013,2013,246,1B,2,21:19,U,Y,Y,U,F,#N/A,F,Y,N,64,135,65,98,108,21:58,,0:39,,,,,,,,,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,1.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2,1.5,
1783,64472,1783-64472,8/20/2014,2014,232,1A,4,21:03,U,A,A,U,0,M,M,Y,Y,61,125,58,97,106,21:44,,0:41,,,,,,,,,,3,3,3,3,3,3,M,M,M,0,3,3,3,3,3,3,M,M,M,0,
1783,64473,1783-64473,8/21/2014,2014,233,2,2,21:44,U,Y,Y,U,0,F,F,Y,Y,56,130,60,96,103,22:14,,0:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,64474,1783-64474,8/22/2014,2014,234,1B,4,21:18,U,Y,Y,U,0,M,M,Y,Y,57,133,61,99,108,21:50,,0:32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,64475,1783-64475,8/26/2014,2014,238,1A,2,23:17,U,Y,Y,U,0,M,M,Y,Y,56.5,127,59,95,103,23:44,,0:27,9/16/2014,2,59,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,64475,1783-64475,9/16/2014,2014,259,2A,,22:46,F,Y,Y,U,0,M,M,Y,Y,59,127,60,95,103,23:51,,1:05,,,,,,,,,,3,3,2.5,2.5,2.5,1.5,1.5,1.5,1,1,3,2.5,2.5,2,2,1.5,1.5,1.5,1,1,
1783,64476,1783-64476,8/28/2014,2014,240,1A,3,20:58,U,Y,Y,U,0,F,F,Y,Y,58,129,65,96,106,21:29,7,0:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,64490,1783-64490,8/31/2015,2015,243,1A,4,22:35,RY,2,2,M,0,#N/A,M,N,N,64.5,128,62,97,107,23:10,,0:35,,,,,,,,,,1.5,3,2.5,2.5,2.5,3,2.5,M,M,M,1.5,3,2.5,2.5,2.5,3,2.5,M,M,M,A20_2014 fledgling! Breeding in A27_2016 M!
1783,64494,1783-64494,8/29/2014,2014,241,2B,1,22:59,RY,Y,Y,U,0,#N/A,U,N,Y,53.5,129,65,96,105,0:30,,1:31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1783,64506,1783-64506,9/18/2014,2014,261,3B,1,22:33,RA,A,A,F,M??,#N/A,F,L,Y,62.5,130,63,96,106,23:18,,0:45,,,,,,,,,,0.5,0.5,3,3,2.5,2.5,2.5,2,M,M,0.5,0.5,3,3,2.5,2.5,2.5,2,M,M,A2_2014 F
1783,64514,1783-64514,9/19/2014,2014,262,2B,1,23:00,RA,A,A,M,0,#N/A,M,N,Y,71,131,63,101,109,23:26,,0:26,,,,,,,,,,1,1,0.5,0.5,0.5,2.5,2,M,M,M,1,1,0.5,0.5,0.5,2.5,2,M,M,M,A18_2014 M
1783,64515,1783-64515,9/13/2014,2014,256,1B,1,20:16,RA,A,A,F,0,#N/A,F,N,Y,66.5,132,66,98,105,20:42,,0:26,,,,,,,,,,3,3,3,3,3,3,3,2.5,M,M,3,3,3,3,2.5,2.5,2.5,2.5,M,M,A8_2014 F gained 10.5g since last capture.
1783,64541,1783-64541,8/23/2014,2014,235,3A,1,21:02,RA,A,A,M,0,#N/A,M,N,?,58,123,46,95,94,21:30,,0:28,,,,,,,,,,1,3,3,3,3,3,M,M,0,0,1,3,3,3,3,3,M,M,0,0,
